repository,owner,repo_name,stars,forks,description,dataset_index,collection_failed,created_at,pushed_at,language,has_issues,has_projects,has_wiki,commit_velocity_score,release_cadence_score,maintenance_activity_score,development_consistency_score,execution_velocity_composite,team_resilience_score,community_health_score,growth_trajectory_score,network_effects_score,team_community_composite,operational_readiness_score,code_quality_score,api_stability_score,documentation_score,technical_maturity_composite,problem_ambition_score,commercial_viability_score,technology_differentiation_score,market_readiness_score,market_positioning_composite,category_potential_score,bsv_investment_score
superglue-ai/superglue,superglue-ai,superglue,1904,99,"superglue integrates & orchestrates APIs from natural language. Agents use it to build deterministic workflows across apps, APIs and databases. Humans use it to generate insights, build automations and manage data.",17,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,1.0,0.0,0,0.9137931034482758,0.9137931034482758,0.9137931034482758
Operative-Sh/web-eval-agent,Operative-Sh,web-eval-agent,1181,97,An MCP server that autonomously evaluates web applications. ,18,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
yichuan-w/LEANN,yichuan-w,LEANN,2516,232,"RAG on Everything with LEANN. Enjoy 97% storage savings while running a fast, accurate, and 100% private RAG application on your personal device.",19,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
sirius-db/sirius,sirius-db,sirius,436,11,,20,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
agentscope-ai/agentscope,agentscope-ai,agentscope,11099,764,AgentScope: Agent-Oriented Programming for Building LLM Applications,21,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
agent0ai/agent-zero,agent0ai,agent-zero,11709,2287,Agent Zero AI framework,22,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965516,0.8275862068965516,0.8275862068965516
dyad-sh/dyad,dyad-sh,dyad,14680,1475,"Free, local, open-source AI app builder ✨ v0 / lovable / Bolt alternative 🌟 Star if you like it!",23,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.8749999999999999,0.0,0.0,0,0.7241379310344828,0.7241379310344828,0.7241379310344828
GraphiteEditor/Graphite,GraphiteEditor,Graphite,21086,889,"An open source graphics editor for 2025: comprehensive 2D content creation tool suite for graphic design, digital art, and interactive real-time motion graphics — featuring node-based procedural editing",24,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,1.0,0,0.1724137931034482,0.17241379310344812,0.17241379310344845
livestorejs/livestore,livestorejs,livestore,2965,88,LiveStore is a next-generation state management framework based on reactive SQLite and built-in sync engine.,25,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965516,0.8275862068965516,0.8275862068965516
pathwaycom/pathway,pathwaycom,pathway,42443,1292,"Python ETL framework for stream processing, real-time analytics, LLM pipelines, and RAG.",26,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,1.0,0,1.0,1.0,1.0
onlook-dev/onlook,onlook-dev,onlook,22447,1554,"The Cursor for Designers • An Open-Source AI-First Design tool • Visually build, style, and edit your React App with AI",27,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965516,0.8275862068965516,0.8275862068965516
SuperClaude-Org/SuperClaude_Framework,SuperClaude-Org,SuperClaude_Framework,15411,1371,"A configuration framework that enhances Claude Code with specialized commands, cognitive personas, and development methodologies.",28,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.49999999999999994,0.0,0.0,0,0.4137931034482758,0.41379310344827563,0.4137931034482758
MiniMax-AI/MiniMax-01,MiniMax-AI,MiniMax-01,3139,289,"The official repo of MiniMax-Text-01 and MiniMax-VL-01, large-language-model & vision-language-model based on Linear Attention",29,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
windmill-labs/windmill,windmill-labs,windmill,14570,786,"Open-source developer platform to power your entire infra and turn scripts into webhooks, workflows and UIs. Fastest workflow engine (13x vs Airflow). Open-source alternative to Retool and Temporal.",30,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965516,0.8275862068965516,0.8275862068965516
Skyvern-AI/skyvern,Skyvern-AI,skyvern,14240,1196,Automate browser-based workflows with LLMs and Computer Vision,31,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
triggerdotdev/trigger.dev,triggerdotdev,trigger.dev,12252,811,Trigger.dev – build and deploy fully‑managed AI agents and workflows,32,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.8749999999999999,0.0,0.0,0,0.7241379310344828,0.7241379310344828,0.7241379310344828
keephq/keep,keephq,keep,10658,1053,The open-source AIOps and alert management platform,33,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965516,0.8275862068965516,0.8275862068965516
explodinggradients/ragas,explodinggradients,ragas,10681,1070,Supercharge Your LLM Application Evaluations 🚀,34,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
activeloopai/deeplake,activeloopai,deeplake,8812,677,"Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai",35,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,1.0,0,1.0,1.0,1.0
hyperdxio/hyperdx,hyperdxio,hyperdx,8847,307,"Resolve production issues, fast. An open source observability platform unifying session replays, logs, metrics, traces and errors powered by Clickhouse and OpenTelemetry.",36,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.49999999999999994,0.0,0.0,0,0.4137931034482758,0.41379310344827563,0.4137931034482758
highlight/highlight,highlight,highlight,8656,456,"highlight.io: The open source, full-stack monitoring platform. Error monitoring, session replay, logging, distributed tracing, and more.",37,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,1.0,0,1.0,1.0,1.0
getlago/lago,getlago,lago,8446,441,"Open Source Metering and Usage Based Billing API ⭐️ Consumption tracking, Subscription management, Pricing iterations, Payment orchestration & Revenue analytics",38,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.8958333333333335,1.0,0.0,0,0.8275862068965519,0.8275862068965518,0.8275862068965519
paradedb/paradedb,paradedb,paradedb,7730,273,"ParadeDB is a modern Elasticsearch alternative built on Postgres. Built for real-time, update-heavy workloads.",39,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,1.0,0,0.1724137931034482,0.17241379310344812,0.17241379310344845
firezone/firezone,firezone,firezone,7506,334,Enterprise-ready zero-trust access platform built on WireGuard®.,40,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965516,0.8275862068965516,0.8275862068965516
growthbook/growthbook,growthbook,growthbook,6847,596,Open Source Feature Flagging and A/B Testing Platform,41,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.49999999999999994,0.0,0.0,0,0.4137931034482758,0.41379310344827563,0.4137931034482758
shuttle-hq/shuttle,shuttle-hq,shuttle,6650,277,Build & ship backends without writing any infrastructure files.,42,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.6249999999999999,0.0,0.0,0,0.5172413793103449,0.5172413793103446,0.517241379310345
evidentlyai/evidently,evidentlyai,evidently,6600,723,"Evidently is ​​an open-source ML and LLM observability framework. Evaluate, test, and monitor any AI-powered system or data pipeline. From tabular data to Gen AI. 100+ metrics.",43,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965516,0.8275862068965516,0.8275862068965516
traceloop/openllmetry,traceloop,openllmetry,6389,798,"Open-source observability for your LLM application, based on OpenTelemetry",44,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
superagent-ai/superagent,superagent-ai,superagent,6118,937,The worlds first purpose-built firewall for AI,45,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.8749999999999999,0.0,0.0,0,0.7241379310344828,0.7241379310344828,0.7241379310344828
authzed/spicedb,authzed,spicedb,6017,341,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data",46,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1.0,0.0,0.0,0,0.8275862068965516,0.8275862068965516,0.8275862068965516
hatchet-dev/hatchet,hatchet-dev,hatchet,6019,262,🪓 Run Background Tasks at Scale,47,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.6249999999999999,0.0,0.0,0,0.5172413793103449,0.5172413793103446,0.517241379310345
NangoHQ/nango,NangoHQ,nango,5848,543,A single API for all your integrations.,48,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0.37499999999999994,1.0,0.0,0,0.39655172413793094,0.39655172413793077,0.3965517241379309
