repository,owner,repo_name,stars,forks,description,dataset_index,collection_failed,created_at,pushed_at,language,has_issues,has_projects,has_wiki
MiniMax-AI/MiniMax-01,MiniMax-AI,MiniMax-01,3139,289,"The official repo of MiniMax-Text-01 and MiniMax-VL-01, large-language-model & vision-language-model based on Linear Attention",29,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
windmill-labs/windmill,windmill-labs,windmill,14570,786,"Open-source developer platform to power your entire infra and turn scripts into webhooks, workflows and UIs. Fastest workflow engine (13x vs Airflow). Open-source alternative to Retool and Temporal.",30,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
Skyvern-AI/skyvern,Skyvern-AI,skyvern,14240,1196,Automate browser-based workflows with LLMs and Computer Vision,31,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
triggerdotdev/trigger.dev,triggerdotdev,trigger.dev,12252,811,Trigger.dev – build and deploy fully‑managed AI agents and workflows,32,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
keephq/keep,keephq,keep,10658,1053,The open-source AIOps and alert management platform,33,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
explodinggradients/ragas,explodinggradients,ragas,10681,1070,Supercharge Your LLM Application Evaluations 🚀,34,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
activeloopai/deeplake,activeloopai,deeplake,8812,677,"Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai",35,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
hyperdxio/hyperdx,hyperdxio,hyperdx,8847,307,"Resolve production issues, fast. An open source observability platform unifying session replays, logs, metrics, traces and errors powered by Clickhouse and OpenTelemetry.",36,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
highlight/highlight,highlight,highlight,8656,456,"highlight.io: The open source, full-stack monitoring platform. Error monitoring, session replay, logging, distributed tracing, and more.",37,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
getlago/lago,getlago,lago,8446,441,"Open Source Metering and Usage Based Billing API ⭐️ Consumption tracking, Subscription management, Pricing iterations, Payment orchestration & Revenue analytics",38,True,2020-01-01T00:00:00Z,2024-01-01T00:00:00Z,Unknown,True,False,False
